sample	compressor	size	noise	correct
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	0
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	0
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
For Alise (Bethoven)	gzip	1	1	0
For Alise (Bethoven)	lzma	1	1	1
For Alise (Bethoven)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	0
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Treasure Waltz (Strauss)	gzip	1	1	0
Treasure Waltz (Strauss)	lzma	1	1	1
Treasure Waltz (Strauss)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Sping From The Four Seasons (Vivaldi)	gzip	1	1	0
Sping From The Four Seasons (Vivaldi)	lzma	1	1	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	1	0
Piano Sonatta No. 15 (Mozart)	lzma	1	1	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	1	0
Piano Sonatta No. 15 (Mozart)	gzip	1	0.5	0
Piano Sonatta No. 15 (Mozart)	lzma	1	0.5	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	0.5	0
Treasure Waltz (Strauss)	gzip	1	0.5	0
Treasure Waltz (Strauss)	lzma	1	0.5	1
Treasure Waltz (Strauss)	bzip2	1	0.5	0
Sping From The Four Seasons (Vivaldi)	gzip	1	0.5	0
Sping From The Four Seasons (Vivaldi)	lzma	1	0.5	0
Sping From The Four Seasons (Vivaldi)	bzip2	1	0.5	0
Treasure Waltz (Strauss)	gzip	1	0.5	0
Treasure Waltz (Strauss)	lzma	1	0.5	1
Treasure Waltz (Strauss)	bzip2	1	0.5	0
Sping From The Four Seasons (Vivaldi)	gzip	1	0.5	0
Sping From The Four Seasons (Vivaldi)	lzma	1	0.5	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	0.5	0
Piano Sonatta No. 15 (Mozart)	gzip	1	0.5	0
Piano Sonatta No. 15 (Mozart)	lzma	1	0.5	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	0.5	0
Sping From The Four Seasons (Vivaldi)	gzip	1	0.5	1
Sping From The Four Seasons (Vivaldi)	lzma	1	0.5	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	0.5	0
Treasure Waltz (Strauss)	gzip	1	0.5	0
Treasure Waltz (Strauss)	lzma	1	0.5	1
Treasure Waltz (Strauss)	bzip2	1	0.5	0
Treasure Waltz (Strauss)	gzip	1	0.5	0
Treasure Waltz (Strauss)	lzma	1	0.5	1
Treasure Waltz (Strauss)	bzip2	1	0.5	0
For Alise (Bethoven)	gzip	1	0.5	0
For Alise (Bethoven)	lzma	1	0.5	1
For Alise (Bethoven)	bzip2	1	0.5	0
Piano Sonatta No. 15 (Mozart)	gzip	1	0.5	0
Piano Sonatta No. 15 (Mozart)	lzma	1	0.5	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	0.5	0
For Alise (Bethoven)	gzip	1	0.5	0
For Alise (Bethoven)	lzma	1	0.5	1
For Alise (Bethoven)	bzip2	1	0.5	0
Piano Sonatta No. 15 (Mozart)	gzip	1	0.5	0
Piano Sonatta No. 15 (Mozart)	lzma	1	0.5	1
Piano Sonatta No. 15 (Mozart)	bzip2	1	0.5	0
Sping From The Four Seasons (Vivaldi)	gzip	1	0.5	0
Sping From The Four Seasons (Vivaldi)	lzma	1	0.5	1
Sping From The Four Seasons (Vivaldi)	bzip2	1	0.5	0
For Alise (Bethoven)	gzip	1	0.5	0
For Alise (Bethoven)	lzma	1	0.5	1
For Alise (Bethoven)	bzip2	1	0.5	0
For Alise (Bethoven)	gzip	1	0.5	0
For Alise (Bethoven)	lzma	1	0.5	1
For Alise (Bethoven)	bzip2	1	0.5	0
Piano Sonatta No. 15 (Mozart)	gzip	1	0.5	0
Piano Sonatta No. 15 (Mozart)	lzma	1	0.5	0
